id|code|country_pinyin|country_code|state_pinyin|state_code|city_pinyin|city_code|district_pinyin|district_code
40484|BDI0000RT000|Bu Long Di |BDI||000|Lu Ta Na |0RT||
40485|TZA0000RV000|Tan Sang Ni Ya |TZA||000|Lu Wu Ma |0RV||
40486|USA0NMRUI000|Mei Guo |USA|Xin Mo Xi Ge |0NM|Lu Yi Duo Suo |RUI||
40487|BDI0000RY000|Bu Long Di |BDI||000|Lu Yi Ji |0RY||
40488|JPN000046000|Ri Ben |JPN||000|Lu Er Dao |046||
40489|NLD000RTM000|He Lan |NLD||000|Lu Te Dan |RTM||
40490|CHN082CLN000|Zhong Guo |CHN|Ao Men |082|Ao Men |082|Lu Huan |CLN
40491|USA000LOW000|Mei Guo |USA||000|Lu Yi Sha |LOW||
40492|USA000LFN000|Mei Guo |USA||000|Lu Yi Si Bao |LFN||
40493|USA0KYLUI000|Mei Guo |USA|Ken Ta Ji |0KY|Lu Yi Si Wei Er |LUI||
40494|USA0KYLMS000|Mei Guo |USA|Ken Ta Ji |0KY|Lu Yi Si Wei Er |LMS||
40495|CAN000LOD000|Jia Na Da |CAN||000|Lun Dun |LOD||
40496|USA0PALOZ000|Mei Guo |USA|Bin Xi Fa Ni Ya |0PA|Lun Dun |LOZ||
40497|GBRENGLND000|Ying Guo |GBR|Ying Ge Lan |ENG|Lun Dun |LND||
40498|USA000RNT000|Mei Guo |USA||000|Lun Dun |RNT||
40499|USA0MDLTW000|Mei Guo |USA|Ma Li Lan |0MD|Lun Na De |LTW||
40500|HND0000LE000|Hong Du La Si |HND||000|Lun Pi La |0LE||
40501|USA0NYRNZ000|Mei Guo |USA|Niu Yue |0NY|Lun Si Le |RNZ||
40502|KOR046NSN000|Han Guo |KOR|Zhong Qing Nan Dao |046|Lun Shan Shi |NSN||
40503|USA0VAROA000|Mei Guo |USA|Wei Ji Ni Ya |0VA|Luo A Nuo Ke |ROA||
40504|USA0NCRZZ000|Mei Guo |USA|Bei Ka Luo Lai Na |0NC|Luo A Nuo Ke La Pi Zi |RZZ||
40505|AGO000LUA000|An Ge La |AGO||000|Luo An Da |LUA||
40506|USA0FLFLL000|Mei Guo |USA|Fu Luo Li Da |0FL|Luo De Dai Bao |FLL||
40507|UKR000056000|Wu Ke Lan |UKR||000|Luo Fu Nuo |056||
40508|USA0NEOFK000|Mei Guo |USA|Na Bu La Si Jia |0NE|Luo Fu |OFK||
40509|USA0AZROG000|Mei Guo |USA|Ya Li Sang Na |0AZ|Luo Ji Si |ROG||
40510|NOR000011000|Nuo Wei |NOR||000|Luo Jia Lan |011||
40511|USA0ILRKI000|Mei Guo |USA|Yi Li Nuo Si |0IL|Luo Ke Ai Lan |RKI||
40512|USA0TXRKP000|Mei Guo |USA|De Ke Sa Si |0TX|Luo Ke Bo Te |RKP||
40513|USA0GARCK000|Mei Guo |USA|Zuo Zhi Ya |0GA|Luo Ke Dai Er |RCK||
40514|USA0ILRFD000|Mei Guo |USA|Yi Li Nuo Si |0IL|Luo Ke Fu De |RFD||
40515|USA0MERKD000|Mei Guo |USA|Mian Yin |0ME|Luo Ke Lan |RKD||
40516|USA0WYRKS000|Mei Guo |USA|Huai E Ming |0WY|Luo Ke Si Pu Lin Si |RKS||
40517|USA0MDRKV000|Mei Guo |USA|Ma Li Lan |0MD|Luo Ke Wei Er |RKV||
40518|USA0TNRKW000|Mei Guo |USA|Tian Na Xi |0TN|Luo Ke Wu De |RKW||
40519|USA0MORLA000|Mei Guo |USA|Mi Su Li |0MO|Luo La |RLA||
40520|BRA0000RR000|Ba Xi |BRA||000|Luo Lai Ma |0RR||
40521|USA0NCRAG000|Mei Guo |USA|Bei Ka Luo Lai Na |0NC|Luo Li |RAG||
40522|USA0WYRWL000|Mei Guo |USA|Huai E Ming |0WY|Luo Lin Si |RWL||
40523|BFA000LOR000|Bu Ji Na Fa Suo |BFA||000|Luo Lu Mu |LOR||
40524|USA000RMG000|Mei Guo |USA||000|Luo Ma |RMG||
40525|USA000REO000|Mei Guo |USA||000|Luo Ma |REO||
40526|USA0NYRME000|Mei Guo |USA|Niu Yue |0NY|Luo Ma |RME||
40527|ITA000ROM000|Yi Da Li |ITA||000|Luo Ma |ROM||
40528|USA000FAL000|Mei Guo |USA||000|Luo Ma Fa Er Ken |FAL||
40529|USA0WARCE000|Mei Guo |USA|Hua Sheng Dun |0WA|Luo Qi Wan |RCE||
40530|URY0000RO000|Wu La Gui |URY||000|Luo Qia |0RO||
40531|USA0MNRST000|Mei Guo |USA|Ming Ni Su Da |0MN|Luo Qie Si Te |RST||
40532|USA0NYRCR000|Mei Guo |USA|Niu Yue |0NY|Luo Qie Si Te |RCR||
40533|USA0NYROC000|Mei Guo |USA|Niu Yue |0NY|Luo Qie Si Te |ROC||
40534|ARG000ROS000|A Gen Ting |ARG||000|Luo Sa Li Ao |ROS||
40535|USA0WARSJ000|Mei Guo |USA|Hua Sheng Dun |0WA|Luo Sa Li Ao |RSJ||
40536|USA000RSX000|Mei Guo |USA||000|Luo Se Si Bo Yin Te |RSX||
40537|ARG000RWO000|A Gen Ting |ARG||000|Luo Sen |RWO||
40538|USA0ORRBG000|Mei Guo |USA|E Le Gang |0OR|Luo Si Bao |RBG||
40539|USA0UTROL000|Mei Guo |USA|You Ta |0UT|Luo Si Fu |ROL||
40540|DNK000RKE000|Dan Mai |DNK||000|Luo Si Ji Le |RKE||
40541|IRL0000RC000|Ai Er Lan |IRL||000|Luo Si Kang Mang |0RC||
40542|USA0NMROW000|Mei Guo |USA|Xin Mo Xi Ge |0NM|Luo Si Wei Er |ROW||
40543|USA000ROX000|Mei Guo |USA||000|Luo Suo |ROX||
40544|USA000RTD000|Mei Guo |USA||000|Luo Tong Da |RTD||
40545|FIN000RVN000|Fen Lan |FIN||000|Luo Wa Nie Mi |RVN||
40546|USA000RWB000|Mei Guo |USA||000|Luo Wan Bei |RWB||
40547|PRK000NAS000|Chao Xian |PRK||000|Luo Xian |NAS||
40548|THA000085000|Tai Guo |THA||000|Luo Yong |085||
40549|KOR048NJU000|Han Guo |KOR|Quan Luo Nan Dao |048|Luo Zhou Shi |NJU||
40550|POL000LOD000|Bo Lan |POL||000|Luo Zi |LOD||
40551|CAF0000LB000|Zhong Fei |CAF||000|Luo Ba Yi |0LB||
40552|LBR0000LO000|Li Bi Li Ya |LBR||000|Luo Fa |0LO||
40553|USA0UTLGU000|Mei Guo |USA|You Ta |0UT|Luo Gen |LGU||
40554|TJK000RGU000|Ta Ji Ke Si Tan |TJK||000|Luo Gong |RGU||
40555|ECU00000L000|E Gua Duo Er |ECU||000|Luo Ha |00L||
40556|USA0NYLOT000|Mei Guo |USA|Niu Yue |0NY|Luo Ke Bo Te |LOT||
40557|USA000LHV000|Mei Guo |USA||000|Luo Ke Gang |LHV||
40558|THA000080000|Tai Guo |THA||000|Luo Kun |080||
40559|PER0000LO000|Mi Lu |PER||000|Luo Lei Tuo |0LO||
40560|ARM000LOR000|Ya Mei Ni Ya |ARM||000|Luo Li |LOR||
40561|USA0NCRDU000|Mei Guo |USA|Bei Ka Luo Lai Na |0NC|Luo Li Du Han Du Hui Qu |RDU||
40562|USA0AKWLR000|Mei Guo |USA|A La Si Jia |0AK|Luo Ling |WLR||
40563|USA0WALPS000|Mei Guo |USA|Hua Sheng Dun |0WA|Luo Pei Si |LPS||
40564|CHE0000LA000|Rui Shi |CHE||000|Luo Sang |0LA||
40565|USA0CALAX000|Mei Guo |USA|Jia Li Fu Ni Ya |0CA|Luo Shan Ji |LAX||
40566|USA0NMLAM000|Mei Guo |USA|Xin Mo Xi Ge |0NM|Luo Si A La Mo Si |LAM||
40567|USA0CALSN000|Mei Guo |USA|Jia Li Fu Ni Ya |0CA|Luo Si Ba Nuo Si |LSN||
40568|ECU00000R000|E Gua Duo Er |ECU||000|Luo Si Li Ao Si |00R||
40569|MEX000LMM000|Mo Xi Ge |MEX||000|Luo Si Mo Qi Si |LMM||
40570|BGR000LVP000|Bao Jia Li Ya |BGR||000|Luo Wei Qi |LVP||
40571|CHN041003004|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40572|CHN041003006|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40573|CHN041003005|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40574|CHN041003002|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40575|CHN041003024|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40576|CHN041003011|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40577|CHN041003028|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40578|CHN041003022|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40579|CHN041003026|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40580|CHN041003025|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40581|CHN041003003|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40582|CHN041003023|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40583|CHN041003081|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40584|CHN041003029|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40585|CHN041003027|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40586|CHN041003000|Zhong Guo |CHN|He Nan |041|Luo Yang |003||
40587|USA0NMLSB000|Mei Guo |USA|Xin Mo Xi Ge |0NM|Luo Zi Bao |LSB||
40588|USA0NCRWI000|Mei Guo |USA|Bei Ka Luo Lai Na |0NC|Luo Ji Shan |RWI||
40589|CHN041011022|Zhong Guo |CHN|He Nan |041|Lei He |011||
40590|CHN041011021|Zhong Guo |CHN|He Nan |041|Lei He |011||
40591|CHN041011003|Zhong Guo |CHN|He Nan |041|Lei He |011||
40592|CHN041011002|Zhong Guo |CHN|He Nan |041|Lei He |011||
40593|CHN041011004|Zhong Guo |CHN|He Nan |041|Lei He |011||
40594|CHN041011000|Zhong Guo |CHN|He Nan |041|Lei He |011||
40595|NLD000LWR000|He Lan |NLD||000|Lv Fa Deng |LWR||
40596|CHN014011028|Zhong Guo |CHN|Shan Xi |014|Lv Liang |011||
40597|CHN014011082|Zhong Guo |CHN|Shan Xi |014|Lv Liang |011||
40598|CHN014011022|Zhong Guo |CHN|Shan Xi |014|Lv Liang |011||
40599|CHN014011030|Zhong Guo |CHN|Shan Xi |014|Lv Liang |011||
40600|CHN014011027|Zhong Guo |CHN|Shan Xi |014|Lv Liang |011||
40601|CHN014011002|Zhong Guo |CHN|Shan Xi |014|Lv Liang |011||
40602|CHN014011024|Zhong Guo |CHN|Shan Xi |014|Lv Liang |011||
40603|CHN014011025|Zhong Guo |CHN|Shan Xi |014|Lv Liang |011||
40604|CHN014011026|Zhong Guo |CHN|Shan Xi |014|Lv Liang |011||
40605|CHN014011021|Zhong Guo |CHN|Shan Xi |014|Lv Liang |011||
40606|CHN014011081|Zhong Guo |CHN|Shan Xi |014|Lv Liang |011||
40607|CHN014011023|Zhong Guo |CHN|Shan Xi |014|Lv Liang |011||
40608|CHN014011029|Zhong Guo |CHN|Shan Xi |014|Lv Liang |011||
40609|CHN014011000|Zhong Guo |CHN|Shan Xi |014|Lv Liang |011||
40610|DEU000LBG000|De Guo |DEU||000|Lv Ne Bao |LBG||
40611|POL000IEG000|Bo Lan |POL||000|Lv Shan Cheng |IEG||
40612|MYS0JHMUA000|Ma Lai Xi Ya |MYS|Rou Fu |0JH|Ma Po |MUA||
40613|IND000MAH000|Yin Du |IND||000|Ma Ai |MAH||
40614|JOR0000MN000|Yue Dan |JOR||000|Ma An |0MN||
40615|CHN034005005|Zhong Guo |CHN|An Hui |034|Ma An Shan |005||
40616|CHN034005021|Zhong Guo |CHN|An Hui |034|Ma An Shan |005||
40617|CHN034005022|Zhong Guo |CHN|An Hui |034|Ma An Shan |005||
40618|CHN034005023|Zhong Guo |CHN|An Hui |034|Ma An Shan |005||
40619|CHN034005003|Zhong Guo |CHN|An Hui |034|Ma An Shan |005||
40620|CHN034005004|Zhong Guo |CHN|An Hui |034|Ma An Shan |005||
40621|CHN034005000|Zhong Guo |CHN|An Hui |034|Ma An Shan |005||
40622|USA0AZMYH000|Mei Guo |USA|Ya Li Sang Na |0AZ|Ma Bu Er Kan Ning |MYH||
40623|KEN000MAC000|Ken Ni Ya |KEN||000|Ma Cha Ke Si |MAC||
40624|PNG0000MD000|Ba Bu Ya Xin Ji Na Ya |PNG||000|Ma Dang |0MD||
40625|JOR0000MD000|Yue Dan |JOR||000|Ma De Ba |0MD||
40626|USA0FLMAE000|Mei Guo |USA|Fu Luo Li Da |0FL|Ma De La |MAE||
40627|USA0ORMDJ000|Mei Guo |USA|E Le Gang |0OR|Ma De La Si |MDJ||
40628|PER0000MD000|Mi Lu |PER||000|Ma De Lei De Di Ao Si |0MD||
40629|ESP000MAD000|Xi Ban Ya |ESP||000|Ma De Li |MAD||
40630|NIC0000MD000|Ni Jia La Gua |NIC||000|Ma De Li Si |0MD||
40631|ARG000MDQ000|A Gen Ting |ARG||000|Ma De Pu La Ta |MDQ||
40632|KHM0000BA000|Jian Pu Zhai |KHM||000|Ma De Wang |0BA||
40633|USA0WVMRB000|Mei Guo |USA|Xi Fu Ji Ni Ya |0WV|Ma Ding Si Bao |MRB||
40634|IND000IXM000|Yin Du |IND||000|Ma Du Lai |IXM||
40635|USA0ILMTO000|Mei Guo |USA|Yi Li Nuo Si |0IL|Ma Dun |MTO||
40636|LVA000MAD000|La Tuo Wei Ya |LVA||000|Ma Duo Na |MAD||
40637|USA0MAMXG000|Mei Guo |USA|Ma Sa Zhu Sai |0MA|Ma Er Bo Le |MXG||
40638|TUR000MAR000|Tu Er Qi |TUR||000|Ma Er Ding |MAR||
40639|URY0000MA000|Wu La Gui |URY||000|Ma Er Duo Na Duo |0MA||
40640|USA0TXMRF000|Mei Guo |USA|De Ke Sa Si |0TX|Ma Er Fa |MRF||
40641|USA000MLK000|Mei Guo |USA||000|Ma Er Ta |MLK||
40642|LSO00000E000|Lai Suo Tuo |LSO||000|Ma Fei Teng |00E||
40643|JOR0000MF000|Yue Dan |JOR||000|Ma Fu La Ke |0MF||
40644|COL000MAG000|Ge Lun Bi Ya |COL||000|Ma Ge Da Lei Na |MAG||
40645|DEU000MAG000|De Guo |DEU||000|Ma Ge De Bao |MAG||
40646|USA000AGO000|Mei Guo |USA||000|Ma Ge Nuo Li Ya |AGO||
40647|CHN071026000|Zhong Guo |CHN|Tai Wan |072|Ma Gong |026||
40648|KEN000MAK000|Ken Ni Ya |KEN||000|Ma Gua Ni |MAK||
40649|MMR0000MG000|Mian Dian |MMR||000|Ma Gui Sheng |0MG||
40650|NPL0000MA000|Ni Bo Er |NPL||000|Ma Ha Ka Li |0MA||
40651|RUS000MCX000|E Luo Si |RUS||000|Ma Ha Qi Ka La |MCX||
40652|MDG0000MJ000|Ma Da Jia Si Jia |MDG||000|Ma Ha Zan Jia |0MJ||
40653|GUY0000MB000|Gui Ya Na |GUY||000|Ma Hai Ka -Bo Bi Si |0MB||
40654|TUN0000MH000|Tu Ni Si |TUN||000|Ma He Di Ye |0MH||
40655|SLB0000MK000|Suo Luo Men Qun Dao |SLB||000|Ma Ji La |0MK||
40656|LBR0000MG000|Li Bi Li Ya |LBR||000|Ma Ji Bi |0MG||
40657|RUS000MAG000|E Luo Si |RUS||000|Ma Jia Dan |MAG||
40658|RUS0000IN000|E Luo Si |RUS||000|Ma Jia Si |0IN||
40659|MYS0TRMAR000|Ma Lai Xi Ya |MYS|Ding Jia Nu |0TR|Ma Jiang |MAR||
40660|BDI0000MA000|Bu Long Di |BDI||000|Ma Kan Ba |0MA||
40661|USA0FLMRK000|Mei Guo |USA|Fu Luo Li Da |0FL|Ma Ke Dao |MRK||
40662|USA0ILMQB000|Mei Guo |USA|Yi Li Nuo Si |0IL|Ma Ke Mu |MQB||
40663|USA000MMS000|Mei Guo |USA||000|Ma Ke Si |MMS||
40664|USA000MXE000|Mei Guo |USA||000|Ma Ke Si Dun |MXE||
40665|USA0IDMLD000|Mei Guo |USA|Ai Da He |0ID|Ma La De Cheng |MLD||
40666|NER000MFQ000|Ni Ri Er |NER||000|Ma La Di |MFQ||
40667|TUR000MAL000|Tu Er Qi |TUR||000|Ma La Di Ya |MAL||
40668|ESP000AGP000|Xi Ban Ya |ESP||000|Ma La Jia |AGP||
40669|MAR000MRK000|Mo Luo Ge |MAR||000|Ma La Ka Shi |MRK||
40670|USA0AZMZJ000|Mei Guo |USA|Ya Li Sang Na |0AZ|Ma La Na |MZJ||
40671|BRA0000MA000|Ba Xi |BRA||000|Ma La Ni Ang |0MA||
40672|USA0FLMTH000|Mei Guo |USA|Fu Luo Li Da |0FL|Ma La Song |MTH||
40673|CIV0000MR000|Ke Te Di Wa |CIV||000|Ma La Wei |0MR||
40674|TZA0000MR000|Tan Sang Ni Ya |TZA||000|Ma La |0MR||
40675|SLB0000ML000|Suo Luo Men Qun Dao |SLB||000|Ma Lai Ta |0ML||
40676|MYS0PGMAR000|Ma Lai Xi Ya |MYS|Peng Heng |0PG|Ma Lan |MAR||
40677|AGO000MAL000|An Ge La |AGO||000|Ma Lan Re |MAL||
40678|VUT0000MA000|Wa Nu A Tu |VUT||000|Ma Lang Pa |0MA||
40679|TKM00000M000|Tu Ku Man Si Tan |TKM||000|Ma Lei |00M||
40680|MDV000MAL000|Ma Er Dai Fu |MDV||000|Ma Lei |MAL||
40681|MDV000MAA000|Ma Er Dai Fu |MDV||000|Ma Lei Dao |MAA||
40682|YEM0000MA000|Ye Men |YEM||000|Ma Li Bu |0MA||
40683|USA0ILMWA000|Mei Guo |USA|Yi Li Nuo Si |0IL|Ma Li En |MWA||
40684|USA0INMZZ000|Mei Guo |USA|Yin Di An Na |0IN|Ma Li En |MZZ||
40685|LBR0000MY000|Li Bi Li Ya |LBR||000|Ma Li Lan |0MY||
40686|USA0CAMYV000|Mei Guo |USA|Jia Li Fu Ni Ya |0CA|Ma Li Si Wei Er |MYV||
40687|LTU0000MA000|Li Tao Wan |LTU||000|Ma Li Yang Bo Lie |0MA||
40688|MYS0MLMEL000|Ma Lai Xi Ya |MYS|Ma Liu Jia |0ML|Ma Liu Jia Shi |MEL||
40689|IDN0000MA000|Yin Du Ni Xi Ya |IDN||000|Ma Lu Gu |0MA||
40690|USA000MHN000|Mei Guo |USA||000|Ma Lun |MHN||
40691|SUR0000MA000|Su Li Nan |SUR||000|Ma Luo Wei Ne |0MA||
40692|USA0CAMMH000|Mei Guo |USA|Jia Li Fu Ni Ya |0CA|Ma Mo Si Lai Ke Si |MMH||
40693|NIC0000MN000|Ni Jia La Gua |NIC||000|Ma Na Gua |0MN||
40694|ECU00000M000|E Gua Duo Er |ECU||000|Ma Na Bi |00M||
40695|LKA000MAN000|Si Li Lan Ka |LKA||000|Ma Na Er |MAN||
40696|USA0VAMNZ000|Mei Guo |USA|Wei Ji Ni Ya |0VA|Ma Na Sa Si |MNZ||
40697|TLS0000MT000|Dong Di Wen |TLS||000|Ma Na Tu Tuo |0MT||
40698|ZWE0000ML000|Jin Ba Bu Wei |ZWE||000|Ma Ni Ka Lan |0ML||
40699|PHL000MNL000|Fei Lv Bin |PHL||000|Ma Ni La |MNL||
40700|USA000MXA000|Mei Guo |USA||000|Ma Ni La |MXA||
40701|TUR000MAN000|Tu Er Qi |TUR||000|Ma Ni Sa |MAN||
40702|USA0MIMBL000|Mei Guo |USA|Mi Xie Gen |0MI|Ma Ni Si Di |MBL||
40703|USA000ISQ000|Mei Guo |USA||000|Ma Ni Si Di Ke |ISQ||
40704|USA0WIMTW000|Mei Guo |USA|Wei Si Kang Xing |0WI|Ma Ni Tuo Wo Ke |MTW||
40705|TUN0000MN000|Tu Ni Si |TUN||000|Ma Nu Ba |0MN||
40706|TLS0000MF000|Dong Di Wen |TLS||000|Ma Nu Fa Yi |0MF||
40707|NZL000MNK000|Xin Xi Lan |NZL||000|Ma Nu Kao |MNK||
40708|PNG0000MN000|Ba Bu Ya Xin Ji Na Ya |PNG||000|Ma Nu Si |0MN||
40709|USA0AKKMO000|Mei Guo |USA|A La Si Jia |0AK|Ma Nuo Ke Ta Ke |KMO||
40710|ITA000MCR000|Yi Da Li |ITA||000|Ma Sa |MCR||
40711|KEN000RBT000|Ken Ni Ya |KEN||000|Ma Sa Bu Bu |RBT||
40712|UGA000MAS000|Wu Gan Da |UGA||000|Ma Sa Ka |MAS||
40713|AND000004000|An Dao Er |AND||000|Ma Sa Na |004||
40714|USA0MAMVY000|Mei Guo |USA|Ma Sa Zhu Sai |0MA|Ma Sa Pu Tao Yuan |MVY||
40715|MEX000MZT000|Mo Xi Ge |MEX||000|Ma Sa Te Lan |MZT||
40716|NIC0000MS000|Ni Jia La Gua |NIC||000|Ma Sa Ya |0MS||
40717|LSO00000A000|Lai Suo Tuo |LSO||000|Ma Sai Lu |00A||
40718|USA0NYMSS000|Mei Guo |USA|Niu Yue |0NY|Ma Sai Na |MSS||
40719|FRA000MRS000|Fa Guo |FRA||000|Ma Sai |MRS||
40720|KOR044MAS000|Han Guo |KOR|Qing Shang Nan Dao |044|Ma Shan Shi |MAS||
40721|USA0WIMFI000|Mei Guo |USA|Wei Si Kang Xing |0WI|Ma Shi Fei Er De |MFI||
40722|USA0ALMSL000|Mei Guo |USA|A La Ba Ma |0AL|Ma Si Er Xiao Er Si |MSL||
40723|USA0MIMKG000|Mei Guo |USA|Mi Xie Gen |0MI|Ma Si Ji Gen |MKG||
40724|OMN0000MA000|A Man |OMN||000|Ma Si Ka Te Sheng |0MA||
40725|DZA000MUA000|A Er Ji Li Ya |DZA||000|Ma Si Ka La |MUA||
40726|USA0MSMUT000|Mei Guo |USA|Mi Xi Xi Bi |0MS|Ma Si Ka Ting |MUT||
40727|USA0OKMKO000|Mei Guo |USA|E Ke La He Ma |0OK|Ma Si Ke Ji |MKO||
40728|NLD000MST000|He Lan |NLD||000|Ma Si Te Li He Te |MST||
40729|ZWE0000MV000|Jin Ba Bu Wei |ZWE||000|Ma Si Wen Ge |0MV||
40730|USA0TXMGI000|Mei Guo |USA|De Ke Sa Si |0TX|Ma Ta Ge Da Dao |MGI||
40731|NIC0000MT000|Ni Jia La Gua |NIC||000|Ma Ta Jia Er Pa |0MT||
40732|MEX000MAM000|Mo Xi Ge |MEX||000|Ma Ta Mo Luo Si |MAM||
40733|SEN0000MA000|Sai Na Jia Er |SEN||000|Ma Ta Mu |0MA||
40734|ITA000MTR000|Yi Da Li |ITA||000|Ma Tai La |MTR||
40735|CUB000004000|Gu Ba |CUB||000|Ma Tan Sa Si |004||
40736|LKA000MAT000|Si Li Lan Ka |LKA||000|Ma Te Lai |MAT||
40737|LKA000MAA000|Si Li Lan Ka |LKA||000|Ma Te Le |MAA||
40738|BRA0000MT000|Ba Xi |BRA||000|Ma Tuo Ge Luo Suo |0MT||
40739|CHL0000ML000|Zhi Li |CHL||000|Ma Wu Lai Da Qu |0ML||
40740|USA0AKMLL000|Mei Guo |USA|A La Si Jia |0AK|Ma Xie Er |MLL||
40741|USA0TXMHL000|Mei Guo |USA|De Ke Sa Si |0TX|Ma Xie Er |MHL||
40742|USA0TXASL000|Mei Guo |USA|De Ke Sa Si |0TX|Ma Xie Er |ASL||
40743|USA0MNMML000|Mei Guo |USA|Ming Ni Su Da |0MN|Ma Xie Er |MML||
40744|USA0MSMIW000|Mei Guo |USA|Mi Xi Xi Bi |0MS|Ma Xie Er Dun |MIW||
40745|UGA000MSN000|Wu Gan Da |UGA||000|Ma Xin Di |MSN||
40746|CUB000MAY000|Gu Ba |CUB||000|Ma Ya Li |MAY||
40747|CPV0000MA000|Fu De Jiao |CPV||000|Ma You Dao |0MA||
40748|UGA000MAY000|Wu Gan Da |UGA||000|Ma You Gai |MAY||
40749|AFG000MZR000|A Fu Han |AFG||000|Ma Zha Li Sha Li Fu |MZR||
40750|MYS0KNMAC000|Ma Lai Xi Ya |MYS|Ji Lan Dan |0KN|Ma Zhang |MAC||
40751|CHN071025000|Zhong Guo |CHN|Tai Wan |072|Ma Zu |025||
40752|THA000044000|Tai Guo |THA||000|Ma Ha Sha La Kan |044||
40753|USA0OHMGE000|Mei Guo |USA|E Hai E |0OH|Ma Li Ai Ta Shi |MGE||
40754|FIN000MHQ000|Fen Lan |FIN||000|Ma Li Gang |MHQ||
40755|GIN000MAM000|Ji Na Ya |GIN||000|Ma Mu |MAM||
40756|USA0FLMIA000|Mei Guo |USA|Fu Luo Li Da |0FL|Mai A Mi |MIA||
40757|USA0WIQMD000|Mei Guo |USA|Wei Si Kang Xing |0WI|Mai Di Xun |QMD||
40758|USA0IDFMS000|Mei Guo |USA|Ai Da He |0ID|Mai Di Xun Bao |FMS||
40759|USA0FLFMY000|Mei Guo |USA|Fu Luo Li Da |0FL|Mai Er Si Bao |FMY||
40760|USA0MTMLS000|Mei Guo |USA|Meng Da Na |0MT|Mai Er Si Cheng |MLS||
40761|YEM0000MR000|Ye Men |YEM||000|Mai He La |0MR||
40762|YEM0000MW000|Ye Men |YEM||000|Mai He Wei Te |0MW||
40763|RUS000MAY000|E Luo Si |RUS||000|Mai Ke Pu |MAY||
40764|USA0ARMFE000|Mei Guo |USA|A Ken Se |0AR|Mai Ke Ai Lun |MFE||
40765|KGZ0000MS000|Ji Er Ji Si Si Tan |KGZ||000|Mai Li Sai |0MS||
40766|USA0NDMOT000|Mei Guo |USA|Bei Da Ke Ta |0ND|Mai Nuo Te |MOT||
40767|USA0OHMSN000|Mei Guo |USA|E Hai E |0OH|Mai Di Xun |MSN||
40768|USA0WIMPE000|Mei Guo |USA|Wei Si Kang Xing |0WI|Mai Di Xun |MPE||
40769|USA0WIXMD000|Mei Guo |USA|Wei Si Kang Xing |0WI|Mai Di Xun |XMD||
40770|DZA000MED000|A Er Ji Li Ya |DZA||000|Mai Di Ya |MED||
40771|SAU000MED000|Sha Te A La Bo |SAU||000|Mai Di Na |MED||
40772|USA0AKWMK000|Mei Guo |USA|A La Si Jia |0AK|Mai Er Si Chu Ke |WMK||
40773|USA0AKMCG000|Mei Guo |USA|A La Si Jia |0AK|Mai Ge La Si |MCG||
40774|USA0MIMCD000|Mei Guo |USA|Mi Xie Gen |0MI|Mai Ji Nuo Dao |MCD||
40775|SAU0000ML000|Sha Te A La Bo |SAU||000|Mai Jia |0ML||
40776|USA0OKMLC000|Mei Guo |USA|E Ke La He Ma |0OK|Mai Ka Lai Si Te |MLC||
40777|USA0AKMXY000|Mei Guo |USA|A La Si Jia |0AK|Mai Ka Xi |MXY||
40778|USA0KSMPR000|Mei Guo |USA|Kan Sa Si |0KS|Mai Ke Fu Sen |MPR||
40779|USA000MYL000|Mei Guo |USA||000|Mai Ke Ka Er |MYL||
40780|USA000MQW000|Mei Guo |USA||000|Mai Ke La Yi |MQW||
40781|USA0TNRNC000|Mei Guo |USA|Tian Na Xi |0TN|Mai Ke Ming Wei Er |RNC||
40782|USA0NEMCK000|Mei Guo |USA|Na Bu La Si Jia |0NE|Mai Ku Ke |MCK||
40783|USA0MSMCB000|Mei Guo |USA|Mi Xi Xi Bi |0MS|Mai Ku Mu |MCB||
40784|BHR000003000|Ba Lin |BHR||000|Mai Na Mai |003||
40785|USA0TXTXC000|Mei Guo |USA|De Ke Sa Si |0TX|Mai Ya Lun |TXC||
40786|CHL0000MA000|Zhi Li |CHL||000|Mai Zhe Lun -Zhi Li Nan Ji Da Qu |0MA||
40787|CAF0000HS000|Zhong Fei |CAF||000|Man Bei Lei -Ka Dai |0HS||
40788|USA0NHMHT000|Mei Guo |USA|Xin Han Bu Shi Er |0NH|Man Che Si Te |MHT||
40789|JAM000MAN000|Ya Mai Jia |JAM||000|Man Che Si Te |MAN||
40790|GBRENGMAN000|Ying Guo |GBR|Ying Ge Lan |ENG|Man Che Si Te |MAN||
